City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,5.11,88,87,14.84,TF,1737658125
1,kindu,-2.95,25.95,21.46,99,100,1.68,CD,1737658126
2,port lincoln,-34.7333,135.8667,15.61,78,0,3.08,AU,1737658127
3,waitangi,-43.9535,-176.5597,16.57,99,99,2.74,NZ,1737658129
4,kupang,-10.1667,123.5833,26.32,100,100,0.51,ID,1737658130
5,bethel,41.3712,-73.414,-1.1,51,0,5.66,US,1737658131
6,yulinshi,38.2906,109.7494,1.07,47,100,2.09,CN,1737658133
7,st. john's,47.5649,-52.7093,-6.51,60,75,9.77,CA,1737658134
8,cogealac,44.55,28.5667,5.02,85,5,1.7,RO,1737658135
9,stanley,54.868,-1.6985,3.62,93,20,2.57,GB,1737658136
10,ardakan,32.31,54.0175,7.24,25,100,2.09,IR,1737658137
11,wailua homesteads,22.0669,-159.378,15.44,77,0,3.6,US,1737658139
12,tura,25.5198,90.2201,14.42,64,0,1.4,IN,1737658140
13,blackmans bay,-43.0167,147.3167,13.18,64,100,0.45,AU,1737658141
14,puerto natales,-51.7236,-72.4875,16.25,39,75,13.89,CL,1737658143
15,jiwani,25.05,61.7417,18.7,28,0,5.09,PK,1737658144
16,thompson,55.7435,-97.8558,-13.91,85,75,4.63,CA,1737658146
17,adamstown,-25.066,-130.1015,24.46,82,10,4.06,PN,1737658147
18,newman,37.3138,-121.0208,14.13,42,0,1.19,US,1737658148
19,mariehamn,60.0973,19.9348,1.92,93,100,6.69,AX,1737658149
20,ancud,-41.8697,-73.8203,15.53,69,100,5.1,CL,1737658150
21,dudinka,69.4058,86.1778,-39.42,97,12,3.62,RU,1737658151
22,labrador city,52.9463,-66.9114,-15.46,63,20,11.62,CA,1737658152
23,arraial do cabo,-22.9661,-42.0278,32.98,66,20,6.17,BR,1737658155
24,ribeira grande,38.5167,-28.7,18.22,88,75,10.8,PT,1737658156
25,el quebrachal,-25.2833,-64.0667,34.03,43,100,7.06,AR,1737658157
26,colonia,50.9333,6.95,4.95,79,0,5.14,DE,1737658158
27,bilibino,68.0546,166.4372,-31.75,99,100,1.83,RU,1737658159
28,el asintal,14.6,-91.7333,29.99,58,20,3.09,GT,1737658160
29,talnakh,69.4865,88.3972,-35.32,97,100,2.42,RU,1737658161
30,riyadh,24.6877,46.7219,14.79,32,0,4.26,SA,1737657870
31,ilulissat,69.2167,-51.1,-7.99,67,20,2.06,GL,1737658163
32,rehoboth,-23.3167,17.0833,30.55,26,86,2.82,NA,1737658164
33,kruisfontein,-34.0033,24.7314,20.46,85,100,5.87,ZA,1737658165
34,grytviken,-54.2811,-36.5092,6.08,77,100,3.79,GS,1737658167
35,hawaiian paradise park,19.5933,-154.9731,23.83,83,100,0.76,US,1737658168
36,trubchevsk,52.5798,33.7644,-2.02,79,99,2.53,RU,1737658169
37,daru,-9.0763,143.2092,25.77,92,100,4.22,PG,1737658170
38,lihue,21.9789,-159.3672,15.77,77,0,3.6,US,1737658127
39,diego de almagro,-26.3667,-70.05,31.01,15,0,8.67,CL,1737658172
40,kapuskasing,49.4169,-82.4331,-19.95,65,20,3.09,CA,1737658173
41,abalak,58.1286,68.5944,-18.12,89,100,4.63,RU,1737658174
42,humaita,-7.5061,-63.0208,27.18,85,89,1.67,BR,1737658175
43,edinburgh of the seven seas,-37.0676,-12.3116,17.81,92,100,4.18,SH,1737658176
44,puerto wilches,7.3483,-73.896,34.34,44,1,1.1,CO,1737658179
45,morehead city,34.7229,-76.726,3.89,62,0,5.14,US,1737658180
46,albany,42.6001,-73.9662,-3.38,40,100,1.79,US,1737658181
47,ad dawadimi,24.5077,44.3924,15.64,30,15,7.32,SA,1737658182
48,iqaluit,63.7506,-68.5145,-20.15,71,40,13.38,CA,1737658183
49,ghadamis,30.1337,9.5007,17.26,22,100,2.64,LY,1737658184
50,alice springs,-23.7,133.8833,24.75,23,100,0.0,AU,1737658185
51,yellowknife,62.456,-114.3525,-1.99,94,75,5.66,CA,1737657900
52,sitka,57.0531,-135.33,5.94,75,100,4.63,US,1737658159
53,east london,-33.0153,27.9116,23.52,83,0,9.26,ZA,1737658188
54,chegdomyn,51.1167,133.0167,-27.76,100,100,0.57,RU,1737658189
55,el-tor,28.2364,33.6254,20.08,45,0,8.75,EG,1737658191
56,west island,-12.1568,96.8225,26.99,78,100,2.57,CC,1737658192
57,nemuro,43.3236,145.575,2.45,83,100,7.22,JP,1737658193
58,bredasdorp,-34.5322,20.0403,21.26,86,33,2.49,ZA,1737658194
